show_date, show_city, show_venue, song_num, song
2023-07-19,"Liverpool","Empire Theatre",19,"Sweet And Tender Hooligan"
2023-07-22,"London","Troxy",1,"Suedehead"
2023-07-22,"London","Troxy",2,"I Wish You Lonely"
2023-07-22,"London","Troxy",3,"Stop Me If You Think You've Heard This One Before"
2023-07-22,"London","Troxy",4,"Sure Enough, The Telephone Rings"
2023-07-22,"London","Troxy",5,"Istanbul"
2023-07-22,"London","Troxy",6,"The Night Pop Dropped"
2023-07-22,"London","Troxy",7,"Jim Jim Falls"
2023-07-22,"London","Troxy",8,"I'm Throwing My Arms Around Paris"
2023-07-22,"London","Troxy",9,"Girlfriend In A Coma"
2023-07-22,"London","Troxy",10,"The Loop"
2023-07-22,"London","Troxy",11,"Our Frank"
2023-07-22,"London","Troxy",12,"Without Music The World Dies"
2023-07-22,"London","Troxy",13,"Irish Blood, English Heart"
2023-07-22,"London","Troxy",14,"Half A Person"
2023-07-22,"London","Troxy",15,"Bonfire Of Teenagers"
2023-07-22,"London","Troxy",16,"Please, Please, Please, Let Me Get What I Want"
2023-07-22,"London","Troxy",17,"Jack The Ripper"
2023-07-22,"London","Troxy",18,"Speedway"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",1,"Suedehead"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",2,"Stop Me If You Think You've Heard This One Before"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",3,"I Wish You Lonely"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",4,"Sure Enough, The Telephone Rings"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",5,"Our Frank"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",6,"Istanbul"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",7,"I'm Throwing My Arms Around Paris"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",8,"Girlfriend In A Coma"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",9,"The Loop"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",10,"The Night Pop Dropped"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",11,"How Soon Is Now?"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",12,"Irish Blood, English Heart"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",13,"Bonfire Of Teenagers"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",14,"Everyday Is Like Sunday"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",15,"Without Music The World Dies"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",16,"Please, Please, Please, Let Me Get What I Want"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",17,"Jack The Ripper"
2023-07-23,"Aylesbury","Aylesbury Waterside Theatre",18,"Speedway"
